Team,TeamID,Conference,ConfID
a&m-corpus chris,293,Southland,29
A&M-Corpus Chris,293,Southland,29
a&m-corpus christi,293,Southland,29
A&M-Corpus Christi,293,Southland,29
abilene chr,1,WAC,33
Abilene Chr,1,WAC,33
abilene christian,1,WAC,33
Abilene Christian,1,WAC,33
Abilene Christian,1,WAC,33
abilene christian,1,WAC,33
abilene-christian,1,WAC,33
Abilene-Christian,1,WAC,33
air force,2,MWC,21
Air Force,2,MWC,21
air-force,2,MWC,21
Air-Force,2,MWC,21
akron,3,MAC,18
Akron,3,MAC,18
Akron,3,MAC,18
akron,3,MAC,18
alabama,4,SEC,27
Alabama,4,SEC,27
Alabama,4,SEC,27
alabama,4,SEC,27
alabama a&m,5,SWAC,32
Alabama A&M,5,SWAC,32
alabama st,6,SWAC,32
Alabama St,6,SWAC,32
alabama st.,6,SWAC,32
Alabama St.,6,SWAC,32
Alabama St.,6,SWAC,32
alabama st.,6,SWAC,32
alabama state,6,SWAC,32
Alabama State,6,SWAC,32
alabama-am,5,SWAC,32
Alabama-Am,5,SWAC,32
alabama-birmingham,311,AAC,2
Alabama-Birmingham,311,AAC,2
alabama-st,6,SWAC,32
Alabama-St,6,SWAC,32
alabama-state,6,SWAC,32
Alabama-State,6,SWAC,32
albany,7,Am. East,4
Albany,7,Am. East,4
Albany,7,Am. East,4
albany,7,Am. East,4
albany (ny),7,Am. East,4
Albany (Ny),7,Am. East,4
albany ny,7,Am. East,4
Albany Ny,7,Am. East,4
albany-ny,7,Am. East,4
Albany-Ny,7,Am. East,4
alcorn,8,SWAC,32
Alcorn,8,SWAC,32
alcorn st,8,SWAC,32
Alcorn St,8,SWAC,32
alcorn st.,8,SWAC,32
Alcorn St.,8,SWAC,32
alcorn state,8,SWAC,32
Alcorn State,8,SWAC,32
alcorn-state,8,SWAC,32
Alcorn-State,8,SWAC,32
am-corpus-chris,293,Southland,29
Am-Corpus-Chris,293,Southland,29
american,9,Patriot,26
American,9,Patriot,26
American,9,Patriot,26
american,9,Patriot,26
american u.,9,Patriot,26
American U.,9,Patriot,26
american univ,9,Patriot,26
American Univ,9,Patriot,26
american university,9,Patriot,26
American University,9,Patriot,26
american-university,9,Patriot,26
American-University,9,Patriot,26
app state,10,Sunbelt,31
App State,10,Sunbelt,31
appalachian st,10,Sunbelt,31
Appalachian St,10,Sunbelt,31
appalachian st.,10,Sunbelt,31
Appalachian St.,10,Sunbelt,31
Appalachian St.,10,Sunbelt,31
appalachian st.,10,Sunbelt,31
appalachian state,10,Sunbelt,31
Appalachian State,10,Sunbelt,31
appalachian-st,10,Sunbelt,31
Appalachian-St,10,Sunbelt,31
appalachian-state,10,Sunbelt,31
Appalachian-State,10,Sunbelt,31
arizona,11,Pac 12,25
Arizona,11,Pac 12,25
Arizona,11,Pac 12,25
arizona,11,Pac 12,25
arizona st,12,Pac 12,25
Arizona St,12,Pac 12,25
arizona st.,12,Pac 12,25
Arizona St.,12,Pac 12,25
Arizona St.,12,Pac 12,25
arizona st.,12,Pac 12,25
arizona state,12,Pac 12,25
Arizona State,12,Pac 12,25
arizona-st,12,Pac 12,25
Arizona-St,12,Pac 12,25
arizona-state,12,Pac 12,25
Arizona-State,12,Pac 12,25
ark little rock,13,OVC,24
Ark Little Rock,13,OVC,24
